channel_id,week,negative,positive,total,positive_pct,negative_pct
EduNuggets_edu_003,1,15,22,37,59.45945945945946,40.54054054054054
EduNuggets_edu_003,2,24,15,39,38.46153846153847,61.53846153846154
EduNuggets_edu_003,3,16,19,35,54.285714285714285,45.714285714285715
EduNuggets_edu_003,4,17,31,48,64.58333333333334,35.41666666666667
EduNuggets_edu_003,5,13,23,36,63.888888888888886,36.11111111111111
EduNuggets_edu_003,6,10,17,27,62.96296296296296,37.03703703703704
EduNuggets_edu_003,7,9,27,36,75.0,25.0
EduNuggets_edu_003,8,19,29,48,60.416666666666664,39.58333333333333
EduNuggets_edu_003,9,11,25,36,69.44444444444444,30.555555555555557
EduNuggets_edu_003,10,19,29,48,60.416666666666664,39.58333333333333
EduNuggets_edu_003,11,15,16,31,51.61290322580645,48.38709677419355
EduNuggets_edu_003,12,17,18,35,51.42857142857142,48.57142857142857
EduNuggets_edu_003,13,20,19,39,48.717948717948715,51.28205128205128
EduNuggets_edu_003,14,26,19,45,42.22222222222222,57.77777777777777
EduNuggets_edu_003,15,13,26,39,66.66666666666666,33.33333333333333
EduNuggets_edu_003,16,15,19,34,55.88235294117647,44.11764705882353
EduNuggets_edu_003,17,18,23,41,56.09756097560976,43.90243902439025
EduNuggets_edu_003,18,22,22,44,50.0,50.0
EduNuggets_edu_003,19,21,25,46,54.347826086956516,45.65217391304348
EduNuggets_edu_003,20,9,21,30,70.0,30.0
EduNuggets_edu_003,46,1,5,6,83.33333333333334,16.666666666666664
EduNuggets_edu_003,47,17,19,36,52.77777777777778,47.22222222222222
EduNuggets_edu_003,48,17,15,32,46.875,53.125
EduNuggets_edu_003,49,24,19,43,44.18604651162791,55.81395348837209
EduNuggets_edu_003,50,10,25,35,71.42857142857143,28.57142857142857
EduNuggets_edu_003,51,23,20,43,46.51162790697674,53.48837209302325
EduNuggets_edu_003,52,14,17,31,54.83870967741935,45.16129032258064
GameCrush_game_004,1,20,21,41,51.21951219512195,48.78048780487805
GameCrush_game_004,2,21,22,43,51.162790697674424,48.837209302325576
GameCrush_game_004,3,20,22,42,52.38095238095239,47.61904761904761
GameCrush_game_004,4,14,18,32,56.25,43.75
GameCrush_game_004,5,15,21,36,58.333333333333336,41.66666666666667
GameCrush_game_004,6,19,18,37,48.64864864864865,51.35135135135135
GameCrush_game_004,7,8,18,26,69.23076923076923,30.76923076923077
GameCrush_game_004,8,17,23,40,57.49999999999999,42.5
GameCrush_game_004,9,21,28,49,57.14285714285714,42.857142857142854
GameCrush_game_004,10,18,15,33,45.45454545454545,54.54545454545454
GameCrush_game_004,11,21,18,39,46.15384615384615,53.84615384615385
GameCrush_game_004,12,15,11,26,42.30769230769231,57.692307692307686
GameCrush_game_004,13,28,21,49,42.857142857142854,57.14285714285714
GameCrush_game_004,14,11,17,28,60.71428571428571,39.285714285714285
GameCrush_game_004,15,16,28,44,63.63636363636363,36.36363636363637
GameCrush_game_004,16,12,17,29,58.620689655172406,41.37931034482759
GameCrush_game_004,17,17,15,32,46.875,53.125
GameCrush_game_004,18,22,20,42,47.61904761904761,52.38095238095239
GameCrush_game_004,19,15,28,43,65.11627906976744,34.883720930232556
GameCrush_game_004,20,12,16,28,57.14285714285714,42.857142857142854
GameCrush_game_004,46,2,3,5,60.0,40.0
GameCrush_game_004,47,20,20,40,50.0,50.0
GameCrush_game_004,48,22,32,54,59.25925925925925,40.74074074074074
GameCrush_game_004,49,13,13,26,50.0,50.0
GameCrush_game_004,50,23,29,52,55.769230769230774,44.230769230769226
GameCrush_game_004,51,20,19,39,48.717948717948715,51.28205128205128
GameCrush_game_004,52,16,29,45,64.44444444444444,35.55555555555556
StarVT_vtuber_001,1,19,19,38,50.0,50.0
StarVT_vtuber_001,2,21,24,45,53.333333333333336,46.666666666666664
StarVT_vtuber_001,3,20,23,43,53.48837209302325,46.51162790697674
StarVT_vtuber_001,4,28,22,50,44.0,56.00000000000001
StarVT_vtuber_001,5,27,26,53,49.056603773584904,50.943396226415096
StarVT_vtuber_001,6,18,19,37,51.35135135135135,48.64864864864865
StarVT_vtuber_001,7,17,20,37,54.054054054054056,45.94594594594595
StarVT_vtuber_001,8,19,26,45,57.77777777777777,42.22222222222222
StarVT_vtuber_001,9,16,22,38,57.89473684210527,42.10526315789473
StarVT_vtuber_001,10,18,26,44,59.09090909090909,40.909090909090914
StarVT_vtuber_001,11,15,19,34,55.88235294117647,44.11764705882353
StarVT_vtuber_001,12,17,8,25,32.0,68.0
StarVT_vtuber_001,13,13,25,38,65.78947368421053,34.21052631578947
StarVT_vtuber_001,14,16,15,31,48.38709677419355,51.61290322580645
StarVT_vtuber_001,15,19,21,40,52.5,47.5
StarVT_vtuber_001,16,18,15,33,45.45454545454545,54.54545454545454
StarVT_vtuber_001,17,16,29,45,64.44444444444444,35.55555555555556
StarVT_vtuber_001,18,21,22,43,51.162790697674424,48.837209302325576
StarVT_vtuber_001,19,10,21,31,67.74193548387096,32.25806451612903
StarVT_vtuber_001,20,10,16,26,61.53846153846154,38.46153846153847
StarVT_vtuber_001,46,1,3,4,75.0,25.0
StarVT_vtuber_001,47,12,20,32,62.5,37.5
StarVT_vtuber_001,48,18,24,42,57.14285714285714,42.857142857142854
StarVT_vtuber_001,49,20,15,35,42.857142857142854,57.14285714285714
StarVT_vtuber_001,50,14,20,34,58.82352941176471,41.17647058823529
StarVT_vtuber_001,51,14,20,34,58.82352941176471,41.17647058823529
StarVT_vtuber_001,52,19,24,43,55.81395348837209,44.18604651162791
TechVerse_tech_002,1,18,29,47,61.702127659574465,38.297872340425535
TechVerse_tech_002,2,27,20,47,42.5531914893617,57.446808510638306
TechVerse_tech_002,3,21,30,51,58.82352941176471,41.17647058823529
TechVerse_tech_002,4,15,23,38,60.526315789473685,39.473684210526315
TechVerse_tech_002,5,16,26,42,61.904761904761905,38.095238095238095
TechVerse_tech_002,6,16,22,38,57.89473684210527,42.10526315789473
TechVerse_tech_002,7,12,17,29,58.620689655172406,41.37931034482759
TechVerse_tech_002,8,20,19,39,48.717948717948715,51.28205128205128
TechVerse_tech_002,9,19,20,39,51.28205128205128,48.717948717948715
TechVerse_tech_002,10,7,21,28,75.0,25.0
TechVerse_tech_002,11,12,31,43,72.09302325581395,27.906976744186046
TechVerse_tech_002,12,25,23,48,47.91666666666667,52.083333333333336
TechVerse_tech_002,13,14,24,38,63.1578947368421,36.84210526315789
TechVerse_tech_002,14,13,21,34,61.76470588235294,38.23529411764706
TechVerse_tech_002,15,19,26,45,57.77777777777777,42.22222222222222
TechVerse_tech_002,16,19,18,37,48.64864864864865,51.35135135135135
TechVerse_tech_002,17,20,17,37,45.94594594594595,54.054054054054056
TechVerse_tech_002,18,25,19,44,43.18181818181818,56.81818181818182
TechVerse_tech_002,19,18,17,35,48.57142857142857,51.42857142857142
TechVerse_tech_002,20,13,12,25,48.0,52.0
TechVerse_tech_002,46,2,1,3,33.33333333333333,66.66666666666666
TechVerse_tech_002,47,22,21,43,48.837209302325576,51.162790697674424
TechVerse_tech_002,48,13,17,30,56.666666666666664,43.333333333333336
TechVerse_tech_002,49,12,23,35,65.71428571428571,34.285714285714285
TechVerse_tech_002,50,12,24,36,66.66666666666666,33.33333333333333
TechVerse_tech_002,51,17,21,38,55.26315789473685,44.73684210526316
TechVerse_tech_002,52,15,16,31,51.61290322580645,48.38709677419355
