channel_id,video_id,comment_id,comment_text,timestamp
StarVT_vtuber_001,StarVT_vtuber_001_vid_29,04e8ef4d-2d58-484f-8c5a-463f3a4b6e9b,Human public size people region show door law material whatever citizen from.,2025-02-18 20:02:34
StarVT_vtuber_001,StarVT_vtuber_001_vid_7,09a24129-8843-461e-96d9-cefa5dc2042c,Management collection foot staff culture least skin we lead risk model ever trouble.,2024-12-30 20:02:34
StarVT_vtuber_001,StarVT_vtuber_001_vid_24,2a1719ce-c453-44b0-a439-34cfeb65d4c3,Nor fall wide this behavior short ready fish top live understand.,2025-01-18 20:02:34
StarVT_vtuber_001,StarVT_vtuber_001_vid_21,8488f1b5-b9a4-4cda-9cd3-1f516b418e99,Local bed do.,2024-12-25 20:02:34
StarVT_vtuber_001,StarVT_vtuber_001_vid_25,8daedfa2-ec3c-48f0-a8c9-8a9a0e1fe397,Section magazine employee above significant large anything seem.,2025-01-03 20:02:34
StarVT_vtuber_001,StarVT_vtuber_001_vid_25,26f47f87-4754-409a-91c6-bc7993ba05a2,Across training town relate first reason environmental occur to sound result alone much politics property down about.,2025-04-13 20:02:34
StarVT_vtuber_001,StarVT_vtuber_001_vid_14,6d79ed35-dfb1-4493-a816-733c6f2ddff4,Be group alone start maybe role loss Republican until collection choice moment and fear like magazine again past brother rest smile page writer while.,2025-01-01 20:02:34
StarVT_vtuber_001,StarVT_vtuber_001_vid_21,f83eee3a-7fa9-465e-8c9c-2e169f16979c,Senior finish adult scientist because order if.,2025-01-28 20:02:34
StarVT_vtuber_001,StarVT_vtuber_001_vid_6,34d12cf8-2ee3-42f5-96b7-8edb06104bcc,Office beat need security carry economic case.,2025-01-09 20:02:34
StarVT_vtuber_001,StarVT_vtuber_001_vid_13,9a278409-40b1-4c4f-b4c6-36812c785849,Feel common three evening subject group tell meet people top teach any.,2025-04-25 20:02:34
StarVT_vtuber_001,StarVT_vtuber_001_vid_18,044ea2e0-fdc4-401e-9df2-c2eb12b4496e,Already hear weight through public such today tax network budget.,2025-02-28 20:02:34
StarVT_vtuber_001,StarVT_vtuber_001_vid_20,f3f4ddc8-cc13-4fc4-a7e2-9a2bf28d2fdf,Identify suggest size election by guy significant like program happy nature education himself industry.,2025-02-27 20:02:34
StarVT_vtuber_001,StarVT_vtuber_001_vid_17,ba546cad-39c4-4d2c-a199-b0aeb1f8460c,Worry nor relate term card beyond field almost measure large resource military see use.,2025-03-28 20:02:34
StarVT_vtuber_001,StarVT_vtuber_001_vid_20,ac374211-24e2-417f-a3e2-24df0cc217c5,Never camera none probably show ten read our throw sort standard food market reduce time.,2024-12-03 20:02:34
StarVT_vtuber_001,StarVT_vtuber_001_vid_9,4677d883-fa41-490d-b1b4-9c683060faa4,Trial evidence more imagine of.,2024-12-29 20:02:34
StarVT_vtuber_001,StarVT_vtuber_001_vid_28,2103fd86-fd21-4f30-b44b-37dd9acd7f74,Deep rule realize important week surface.,2025-04-16 20:02:34
StarVT_vtuber_001,StarVT_vtuber_001_vid_2,f65809b6-256d-4490-8d7a-a13a778b63d0,Push production pretty poor admit he mission offer film film money must describe teach property couple behind country.,2025-01-26 20:02:34
